date,total,en,withoutua,tags,tagsen
2022-08-19,47994,23179,21871,5,1
2022-08-20,44364,20103,18929,0,0
2022-08-21,47708,20242,19305,1,1
2022-08-22,46979,22168,21134,0,0
2022-08-23,50253,23760,22389,1,1
2022-08-24,79725,38504,36518,1,1
2022-08-25,58508,28265,26989,3,1
2022-08-26,55482,27030,25892,1,0
2022-08-27,37006,17543,16595,1,0
2022-08-28,36972,17118,16116,2,1
2022-08-29,53402,26263,24946,1,1
2022-08-30,63109,32725,31431,3,3
2022-08-31,53767,26475,25457,1,0
2022-09-01,48262,23645,22616,1,0
2022-09-02,53668,27281,26456,2,0
2022-09-03,40732,19403,18615,0,0
2022-09-04,40151,18819,18027,1,1
2022-09-05,44695,21263,20282,2,1
2022-09-06,61619,27217,26176,3,0
2022-09-07,46496,22288,21325,1,1
2022-09-08,47830,23186,22165,0,0
2022-09-09,70401,35798,34749,6,1
2022-09-10,64953,31931,30872,2,0
2022-09-11,67526,31454,29921,5,2
2022-09-12,62944,29314,28143,3,0
2022-09-13,63866,32431,31481,5,0
2022-09-14,75392,41033,39849,1,0
2022-09-15,67230,35364,34171,0,0
2022-09-16,63125,29949,28645,5,1
2022-09-17,49592,23253,22071,2,1
2022-09-18,42426,19721,18834,2,0
2022-09-19,49332,23829,22753,1,0
2022-09-20,57409,27347,26334,0,0
2022-09-21,104313,47859,46490,6,2
2022-09-22,78507,37401,36322,4,1
2022-09-23,77368,36130,34856,3,0
2022-09-24,63866,29734,28669,1,0
2022-09-25,52998,25321,24399,2,0
2022-09-26,60625,28094,27209,1,0
2022-09-27,68866,30073,29126,1,1
2022-09-28,80527,34836,33921,1,0
2022-09-29,66984,29309,28144,2,1
2022-09-30,69930,29764,28095,6,4
2022-10-01,65737,30109,29143,2,0
2022-10-02,51155,23331,22529,0,0
2022-10-03,60040,29417,27921,8,2
2022-10-04,59319,29718,28595,6,2
2022-10-05,53903,25546,24545,2,0
2022-10-06,55377,26576,25299,3,1
2022-10-07,60095,29216,28279,5,3
2022-10-08,86471,40613,39512,2,2
2022-10-09,66366,31275,30024,3,1
2022-10-10,153812,68551,64707,16,5
2022-10-11,84344,41144,39713,7,4
2022-10-12,72116,35369,34319,8,3
2022-10-13,59146,28813,27685,6,2
2022-10-14,51501,24960,23995,6,2
2022-10-15,46816,22776,21885,0,0
2022-10-16,42967,20120,19304,3,1
2022-10-17,65016,30557,28607,2,2
2022-10-18,69493,32257,31104,1,1
2022-10-19,62979,27349,26172,2,1
2022-10-20,51887,23244,22288,4,0
2022-10-21,45683,22410,21540,1,1
2022-10-22,42286,20612,19739,2,1
2022-10-23,40881,19572,18762,0,0
2022-10-24,43810,21503,20522,2,1
2022-10-25,45908,23054,22135,7,2
2022-10-26,45881,22872,21988,2,0
2022-10-27,43836,21965,20952,1,0
2022-10-28,73794,42139,41195,3,2
2022-10-29,91214,51256,50427,1,0
2022-10-30,36237,17601,16822,3,0
2022-10-31,43101,21251,20095,5,2
2022-11-01,46149,24832,23868,2,0
2022-11-02,46265,24762,23848,2,1
2022-11-03,45887,24627,23713,5,5
2022-11-04,48313,26561,25495,12,5
2022-11-05,45068,24170,23401,2,1
