date,total,bad
2022-08-19,21871,628
2022-08-20,18929,541
2022-08-21,19305,607
2022-08-22,21134,732
2022-08-23,22389,731
2022-08-24,36518,1071
2022-08-25,26989,854
2022-08-26,25892,795
2022-08-27,16595,592
2022-08-28,16116,547
2022-08-29,24946,740
2022-08-30,31431,1108
2022-08-31,25457,823
2022-09-01,22616,715
2022-09-02,26456,1162
2022-09-03,18615,771
2022-09-04,18027,639
2022-09-05,20282,660
2022-09-06,26176,802
2022-09-07,21325,718
2022-09-08,22165,704
2022-09-09,34749,912
2022-09-10,30872,853
2022-09-11,29921,885
2022-09-12,28143,831
2022-09-13,31481,918
2022-09-14,39849,919
2022-09-15,34171,1027
2022-09-16,28645,904
2022-09-17,22071,779
2022-09-18,18834,762
2022-09-19,22753,908
2022-09-20,26334,937
2022-09-21,46490,1463
2022-09-22,36322,1275
2022-09-23,34856,1098
2022-09-24,28669,968
2022-09-25,24399,808
2022-09-26,27209,889
2022-09-27,29126,1149
2022-09-28,33921,1395
2022-09-29,28144,935
2022-09-30,28095,889
2022-10-01,29143,1102
2022-10-02,22529,762
2022-10-03,27921,922
2022-10-04,28595,1028
2022-10-05,24545,776
2022-10-06,25299,912
2022-10-07,28279,1101
2022-10-08,39512,1089
2022-10-09,30024,925
2022-10-10,64707,3232
2022-10-11,39713,1808
2022-10-12,34319,1400
2022-10-13,27685,1103
2022-10-14,23995,922
2022-10-15,21885,941
2022-10-16,19304,762
2022-10-17,28607,931
2022-10-18,31104,957
2022-10-19,26172,927
2022-10-20,22288,793
2022-10-21,21540,688
2022-10-22,19739,680
2022-10-23,18762,593
2022-10-24,20522,672
2022-10-25,22135,731
2022-10-26,21988,719
2022-10-27,20952,695
2022-10-28,41195,1262
2022-10-29,50427,1208
2022-10-30,16822,576
2022-10-31,20095,664
2022-11-01,23868,740
2022-11-02,23848,713
2022-11-03,23713,687
2022-11-04,25495,802
2022-11-05,23401,769
2022-11-06,21352,869
2022-11-07,24198,867
2022-11-08,22451,804
2022-11-09,34673,972
2022-11-10,26993,762
2022-11-11,30876,839
2022-11-12,25145,735
2022-11-13,21629,1011
2022-11-14,22953,920
2022-11-15,45640,3175
2022-11-16,46160,4893
2022-11-17,24564,2129
2022-11-18,18225,1137
2022-11-19,22851,970
2022-11-20,20953,694
2022-11-21,46086,1195
2022-11-22,23577,2029
2022-11-23,39928,750
2022-11-24,35389,893
2022-11-25,25085,592
2022-11-26,18627,464
2022-11-27,27284,617
2022-11-28,28434,897
2022-11-30,24085,742
2022-11-30,17876,582
2022-12-01,28595,848
2022-12-02,36350,1051
2022-12-03,20197,680
2022-12-04,21522,644
2022-04-01,249748,4446
2022-04-02,260351,4024
2022-04-03,290484,6149
2022-04-04,274843,6620
2022-04-05,285339,6942
2022-04-06,281471,6128
2022-04-07,254517,5544
2022-04-08,256857,7032
2022-04-09,278291,4905
2022-04-10,264140,4960
2022-04-11,267321,5736
2022-04-12,269599,8783
2022-04-13,272239,9644
2022-04-14,242259,5038
2022-04-15,238586,6483
2022-04-16,223640,6396
2022-04-17,218984,6776
2022-04-18,227863,5668
2022-04-19,297369,6124
2022-04-20,269065,4395
2022-04-21,256821,3941
2022-04-22,236323,4283
2022-04-23,249859,5896
2022-04-24,218873,4034
2022-04-25,211337,4045
2022-04-26,230353,5782
2022-04-27,230241,4124
2022-04-28,210087,7074
2022-04-29,218324,7116
2022-04-30,221612,6367
2022-05-01,241404,5376
2022-05-02,217154,6117
2022-05-03,209090,5756
2022-05-04,248307,6268
2022-05-05,707754,19482
2022-05-08,239173,5349
2022-05-09,257919,6140
2022-05-10,235484,4874
2022-05-11,209074,5369
2022-05-12,200724,4784
2022-05-13,183271,4737
2022-05-14,201195,4517
2022-05-15,213061,6419
2022-05-16,254605,6876
2022-05-17,222798,8014
2022-05-18,207158,8412
2022-05-19,178072,5924
2022-05-20,153085,5176
2022-05-21,139502,5060
2022-05-22,124649,4190
2022-05-23,158050,4735
2022-05-24,162660,3824
2022-05-25,161589,3483
2022-05-26,152911,3412
2022-05-27,161797,3639
2022-05-28,155429,3691
2022-05-29,141784,4137
2022-05-30,153714,3542
2022-05-31,144314,3756
2022-06-01,172393,3631
2022-06-02,137165,3082
2022-06-03,154730,3311
2022-06-04,168684,3635
2022-06-05,146210,3440
2022-06-06,487718,9443
2022-06-09,186933,3697
2022-06-10,180461,3867
2022-06-11,150469,3294
2022-06-12,150114,3064
2022-06-13,150289,4103
2022-06-14,145880,4166
2022-06-15,145993,4297
2022-06-16,164065,3652
2022-06-17,151645,3720
2022-06-18,129626,3544
2022-06-19,116399,4192
2022-06-20,127689,2829
2022-06-21,119986,3397
2022-06-22,135040,3114
2022-06-23,149375,3278
2022-06-24,131213,3132
2022-06-25,115547,3348
2022-06-26,140139,3747
2022-06-27,159086,3950
2022-06-28,154646,5702
2022-06-29,145144,7231
2022-06-30,122512,3786
2022-07-01,113992,3546
2022-07-02,104998,2857
2022-07-03,96779,2821
2022-07-04,119881,3641
2022-07-05,113153,3832
2022-07-06,107365,4219
2022-07-07,116596,4511
2022-07-08,110327,3755
2022-07-09,104224,2586
2022-07-10,120134,4797
2022-07-11,153538,8212
2022-07-12,112634,4392
2022-07-13,102712,2980
2022-07-14,149073,2739
2022-07-15,132246,2876
2022-07-16,95749,2789
2022-07-17,104325,2490
2022-07-18,100551,2343
2022-07-19,101573,2283
2022-07-20,108584,2118
2022-07-21,91496,2688
2022-07-22,87334,2050
2022-07-23,79933,2006
2022-07-24,70496,2746
2022-07-25,77156,2555
2022-07-26,74444,2079
2022-07-27,88339,5044
2022-07-28,91861,5650
2022-07-29,126731,4088
2022-07-30,105481,2479
2022-07-31,104081,2061
2022-08-01,108305,2484
2022-08-02,155082,4026
2022-08-03,134658,2922
2022-08-04,104486,3360
2022-08-05,96964,3217
2022-08-06,126845,9667
2022-08-07,155647,14563
2022-08-08,37315,2503
2022-08-09,18162,609
2022-08-10,25974,940
2022-08-11,25564,721
2022-08-12,35351,1244
2022-08-13,21213,824
2022-08-14,15330,537
2022-08-15,17968,617
2022-08-16,20863,608
2022-08-17,26317,737
2022-08-18,21469,629
2022-02-24,719665,33017
2022-02-27,225854,8475
2022-02-28,149671,6260
2022-02-28,88438,3174
2022-03-01,249158,14252
2022-03-02,271843,26484
2022-03-03,253878,21622
2022-03-04,325991,12031
2022-03-05,362657,14225
2022-03-06,388617,14482
2022-03-07,396893,10922
2022-03-08,349550,10688
2022-03-09,312434,12189
2022-03-10,299519,9605
2022-03-11,275723,7090
2022-03-12,267156,7423
2022-03-13,303262,9073
2022-03-14,278625,8430
2022-03-15,319353,7535
2022-03-16,284373,6127
