date,total,bad
2022-08-19,21871,933
2022-08-20,18929,776
2022-08-21,19305,869
2022-08-22,21134,936
2022-08-23,22389,1030
2022-08-24,36518,1440
2022-08-25,26989,1249
2022-08-26,25892,1107
2022-08-27,16595,894
2022-08-28,16116,806
2022-08-29,24946,1049
2022-08-30,31431,1436
2022-08-31,25457,1195
2022-09-01,22616,1105
2022-09-02,26456,1685
2022-09-03,18615,1047
2022-09-04,18027,962
2022-09-05,20282,962
2022-09-06,26176,1138
2022-09-07,21325,959
2022-09-08,22165,1047
2022-09-09,34749,1479
2022-09-10,30872,1129
2022-09-11,29921,1230
2022-09-12,28143,1296
2022-09-13,31481,1403
2022-09-14,39849,1352
2022-09-15,34171,1251
2022-09-16,28645,1425
2022-09-17,22071,1147
2022-09-18,18834,888
2022-09-19,22753,1163
2022-09-20,26334,1505
2022-09-21,46490,2538
2022-09-22,36322,1989
2022-09-23,34856,1649
2022-09-24,28669,1340
2022-09-25,24399,1213
2022-09-26,27209,1318
2022-09-27,29126,1494
2022-09-28,33921,1837
2022-09-29,28144,1291
2022-09-30,28095,1600
2022-10-01,29143,1600
2022-10-02,22529,1156
2022-10-03,27921,1433
2022-10-04,28595,1587
2022-10-05,24545,1216
2022-10-06,25299,1334
2022-10-07,28279,1731
2022-10-08,39512,1506
2022-10-09,30024,1308
2022-10-10,64707,3388
2022-10-11,39713,2408
2022-10-12,34319,1988
2022-10-13,27685,1694
2022-10-14,23995,1255
2022-10-15,21885,1341
2022-10-16,19304,1094
2022-10-17,28607,1302
2022-10-18,31104,1354
2022-10-19,26172,1315
2022-10-20,22288,1096
2022-10-21,21540,1000
2022-10-22,19739,969
2022-10-23,18762,885
2022-10-24,20522,1016
2022-10-25,22135,1176
2022-10-26,21988,1140
2022-10-27,20952,1210
2022-10-28,41195,2372
2022-10-29,50427,1978
2022-10-30,16822,885
2022-10-31,20095,974
2022-11-01,23868,1084
2022-11-02,23848,1065
2022-11-03,23713,1070
2022-11-04,25495,1270
2022-11-05,23401,1184
2022-11-06,21352,1322
2022-11-07,24198,1322
2022-11-08,22451,1141
2022-11-09,34673,1519
2022-11-10,26993,1143
2022-11-11,30876,1235
2022-11-12,25145,1062
2022-11-13,21629,1329
2022-11-14,22953,1346
2022-11-15,45640,4431
2022-11-16,46160,6887
2022-11-17,24564,2667
2022-11-18,18225,1444
2022-11-19,22851,1305
2022-11-20,20953,966
2022-11-21,46086,2361
2022-11-22,23577,4241
2022-11-23,39928,1487
2022-11-24,35389,1654
2022-11-25,25085,874
2022-11-26,18627,709
2022-11-27,27284,2195
2022-11-28,28434,1567
2022-11-30,24085,997
2022-11-30,17876,817
2022-12-01,28595,1687
2022-12-02,36350,1725
2022-12-03,20197,984
2022-12-04,21522,905
2022-04-01,249748,6974
2022-04-02,260351,8322
2022-04-03,290484,6770
2022-04-04,274843,8292
2022-04-05,285339,9109
2022-04-06,281471,7842
2022-04-07,254517,8903
2022-04-08,256857,8874
2022-04-09,278291,6687
2022-04-10,264140,6722
2022-04-11,267321,8567
2022-04-12,269599,11362
2022-04-13,272239,7176
2022-04-14,242259,7977
2022-04-15,238586,14682
2022-04-16,223640,9995
2022-04-17,218984,10859
2022-04-18,227863,11352
2022-04-19,297369,12148
2022-04-20,269065,7128
2022-04-21,256821,7895
2022-04-22,236323,6374
2022-04-23,249859,5531
2022-04-24,218873,5888
2022-04-25,211337,6033
2022-04-26,230353,6098
2022-04-27,230241,5596
2022-04-28,210087,7248
2022-04-29,218324,7632
2022-04-30,221612,7473
2022-05-01,241404,8322
2022-05-02,217154,9075
2022-05-03,209090,9223
2022-05-04,248307,9143
2022-05-05,707754,24567
2022-05-08,239173,8415
2022-05-09,257919,7883
2022-05-10,235484,8909
2022-05-11,209074,8567
2022-05-12,200724,7079
2022-05-13,183271,5942
2022-05-14,201195,7524
2022-05-15,213061,11279
2022-05-16,254605,10045
2022-05-17,222798,9945
2022-05-18,207158,9524
2022-05-19,178072,7743
2022-05-20,153085,7408
2022-05-21,139502,7336
2022-05-22,124649,5630
2022-05-23,158050,5806
2022-05-24,162660,5768
2022-05-25,161589,5406
2022-05-26,152911,5122
2022-05-27,161797,5795
2022-05-28,155429,5886
2022-05-29,141784,5200
2022-05-30,153714,5515
2022-05-31,144314,4979
2022-06-01,172393,4728
2022-06-02,137165,4489
2022-06-03,154730,5701
2022-06-04,168684,7991
2022-06-05,146210,5657
2022-06-06,487718,17616
2022-06-09,186933,6696
2022-06-10,180461,6220
2022-06-11,150469,4967
2022-06-12,150114,4313
2022-06-13,150289,5407
2022-06-14,145880,5252
2022-06-15,145993,6030
2022-06-16,164065,4621
2022-06-17,151645,5007
2022-06-18,129626,4635
2022-06-19,116399,5479
2022-06-20,127689,4758
2022-06-21,119986,4841
2022-06-22,135040,4989
2022-06-23,149375,4926
2022-06-24,131213,4849
2022-06-25,115547,4901
2022-06-26,140139,4649
2022-06-27,159086,5101
2022-06-28,154646,5184
2022-06-29,145144,6845
2022-06-30,122512,5209
2022-07-01,113992,4835
2022-07-02,104998,4162
2022-07-03,96779,4047
2022-07-04,119881,4447
2022-07-05,113153,4610
2022-07-06,107365,4327
2022-07-07,116596,5072
2022-07-08,110327,3880
2022-07-09,104224,3680
2022-07-10,120134,6440
2022-07-11,153538,9102
2022-07-12,112634,5090
2022-07-13,102712,4662
2022-07-14,149073,5038
2022-07-15,132246,5271
2022-07-16,95749,3930
2022-07-17,104325,3923
2022-07-18,100551,3907
2022-07-19,101573,3892
2022-07-20,108584,2961
2022-07-21,91496,4683
2022-07-22,87334,3263
2022-07-23,79933,3421
2022-07-24,70496,4364
2022-07-25,77156,3527
2022-07-26,74444,3368
2022-07-27,88339,6220
2022-07-28,91861,5518
2022-07-29,126731,4816
2022-07-30,105481,4323
2022-07-31,104081,4190
2022-08-01,108305,3668
2022-08-02,155082,7322
2022-08-03,134658,5046
2022-08-04,104486,4522
2022-08-05,96964,4065
2022-08-06,126845,12296
2022-08-07,155647,20544
2022-08-08,37315,3568
2022-08-09,18162,862
2022-08-10,25974,1230
2022-08-11,25564,1057
2022-08-12,35351,1510
2022-08-13,21213,1125
2022-08-14,15330,757
